pm25,pm10,aqi_external,datetime,aqi,hour,dayofweek,month,target
22.7,24.6,60,2025-11-22 00:00:00,73,0,5,11,55.0
19.1,20.5,60,2025-11-22 01:00:00,66,1,5,11,57.0
16.5,17.7,60,2025-11-22 02:00:00,60,2,5,11,59.0
14.8,16.0,60,2025-11-22 03:00:00,57,3,5,11,60.0
13.2,14.3,60,2025-11-22 04:00:00,53,4,5,11,68.0
11.8,12.9,61,2025-11-22 05:00:00,49,5,5,11,87.0
11.0,12.2,61,2025-11-22 06:00:00,46,6,5,11,92.0
11.4,12.6,61,2025-11-22 07:00:00,48,7,5,11,93.0
13.3,14.3,62,2025-11-22 08:00:00,54,8,5,11,88.0
14.5,15.4,62,2025-11-22 09:00:00,56,9,5,11,76.0
16.6,19.1,62,2025-11-22 10:00:00,60,10,5,11,65.0
15.9,19.0,62,2025-11-22 11:00:00,59,11,5,11,57.0
14.0,17.7,62,2025-11-22 12:00:00,55,12,5,11,49.0
14.1,18.1,63,2025-11-22 13:00:00,55,13,5,11,47.0
15.0,19.3,63,2025-11-22 14:00:00,57,14,5,11,42.0
15.8,20.2,63,2025-11-22 15:00:00,59,15,5,11,37.0
16.5,20.9,63,2025-11-22 16:00:00,60,16,5,11,33.0
20.0,24.2,63,2025-11-22 17:00:00,68,17,5,11,46.0
29.0,36.9,63,2025-11-22 18:00:00,87,18,5,11,49.0
31.5,39.3,64,2025-11-22 19:00:00,92,19,5,11,57.0
31.9,39.1,65,2025-11-22 20:00:00,93,20,5,11,67.0
29.7,35.6,65,2025-11-22 21:00:00,88,21,5,11,69.0
23.9,28.2,65,2025-11-22 22:00:00,76,22,5,11,64.0
18.6,21.8,64,2025-11-22 23:00:00,65,23,5,11,54.0
14.8,17.4,64,2025-11-23 00:00:00,57,0,6,11,53.0
11.7,14.2,63,2025-11-23 01:00:00,49,1,6,11,53.0
11.2,14.7,62,2025-11-23 02:00:00,47,2,6,11,54.0
10.0,13.5,62,2025-11-23 03:00:00,42,3,6,11,55.0
8.8,11.8,61,2025-11-23 04:00:00,37,4,6,11,66.0
7.9,10.4,61,2025-11-23 05:00:00,33,5,6,11,73.0
11.0,14.7,61,2025-11-23 06:00:00,46,6,6,11,83.0
11.8,15.1,61,2025-11-23 07:00:00,49,7,6,11,90.0
15.1,18.2,61,2025-11-23 08:00:00,57,8,6,11,96.0
19.7,22.9,61,2025-11-23 09:00:00,67,9,6,11,99.0
20.7,24.2,61,2025-11-23 10:00:00,69,10,6,11,101.0
18.3,22.5,62,2025-11-23 11:00:00,64,11,6,11,91.0
13.6,17.6,62,2025-11-23 12:00:00,54,12,6,11,78.0
12.9,16.9,62,2025-11-23 13:00:00,53,13,6,11,68.0
13.0,17.2,62,2025-11-23 14:00:00,53,14,6,11,62.0
13.3,17.5,61,2025-11-23 15:00:00,54,15,6,11,57.0
14.1,18.3,61,2025-11-23 16:00:00,55,16,6,11,54.0
19.2,23.2,61,2025-11-23 17:00:00,66,17,6,11,49.0
22.6,27.4,61,2025-11-23 18:00:00,73,18,6,11,48.0
27.1,32.0,60,2025-11-23 19:00:00,83,19,6,11,56.0
30.6,35.5,60,2025-11-23 20:00:00,90,20,6,11,60.0
33.3,38.2,60,2025-11-23 21:00:00,96,21,6,11,61.0
35.0,39.8,60,2025-11-23 22:00:00,99,22,6,11,63.0
35.5,39.7,61,2025-11-23 23:00:00,101,23,6,11,54.0
31.0,34.2,63,2025-11-24 00:00:00,91,0,0,11,54.0
24.9,27.4,64,2025-11-24 01:00:00,78,1,0,11,56.0
20.4,22.4,65,2025-11-24 02:00:00,68,2,0,11,59.0
17.1,19.0,66,2025-11-24 03:00:00,62,3,0,11,61.0
14.8,16.9,67,2025-11-24 04:00:00,57,4,0,11,74.0
13.6,16.1,67,2025-11-24 05:00:00,54,5,0,11,77.0
11.7,13.2,68,2025-11-24 06:00:00,49,6,0,11,85.0
11.6,13.1,68,2025-11-24 07:00:00,48,7,0,11,91.0
14.3,15.7,68,2025-11-24 08:00:00,56,8,0,11,94.0
16.6,18.0,68,2025-11-24 09:00:00,60,9,0,11,95.0
16.7,18.8,67,2025-11-24 10:00:00,61,10,0,11,94.0
17.8,20.7,67,2025-11-24 11:00:00,63,11,0,11,88.0
13.3,17.1,67,2025-11-24 12:00:00,54,12,0,11,77.0
13.6,17.5,67,2025-11-24 13:00:00,54,13,0,11,69.0
14.7,18.7,67,2025-11-24 14:00:00,56,14,0,11,63.0
15.8,19.7,67,2025-11-24 15:00:00,59,15,0,11,58.0
16.9,20.8,67,2025-11-24 16:00:00,61,16,0,11,54.0
22.9,26.6,68,2025-11-24 17:00:00,74,17,0,11,49.0
24.4,27.3,68,2025-11-24 18:00:00,77,18,0,11,49.0
28.3,31.2,68,2025-11-24 19:00:00,85,19,0,11,54.0
31.3,34.1,68,2025-11-24 20:00:00,91,20,0,11,57.0
32.6,35.3,68,2025-11-24 21:00:00,94,21,0,11,57.0
33.1,35.7,68,2025-11-24 22:00:00,95,22,0,11,55.0
32.7,35.2,68,2025-11-24 23:00:00,94,23,0,11,44.0
29.5,31.3,68,2025-11-25 00:00:00,88,0,1,11,32.0
24.7,26.2,68,2025-11-25 01:00:00,77,1,1,11,28.0
20.8,21.9,68,2025-11-25 02:00:00,69,2,1,11,28.0
17.8,18.7,68,2025-11-25 03:00:00,63,3,1,11,30.0
15.5,16.5,68,2025-11-25 04:00:00,58,4,1,11,40.0
13.7,14.6,68,2025-11-25 05:00:00,54,5,1,11,28.0
11.8,12.9,68,2025-11-25 06:00:00,49,6,1,11,35.0
11.8,13.0,68,2025-11-25 07:00:00,49,7,1,11,42.0
13.6,14.8,68,2025-11-25 08:00:00,54,8,1,11,49.0
14.9,16.1,68,2025-11-25 09:00:00,57,9,1,11,53.0
14.9,16.4,68,2025-11-25 10:00:00,57,10,1,11,55.0
14.2,16.5,68,2025-11-25 11:00:00,55,11,1,11,54.0
10.5,12.7,67,2025-11-25 12:00:00,44,12,1,11,51.0
7.6,9.6,67,2025-11-25 13:00:00,32,13,1,11,44.0
6.8,8.8,66,2025-11-25 14:00:00,28,14,1,11,37.0
6.6,8.3,66,2025-11-25 15:00:00,28,15,1,11,31.0
7.3,8.8,65,2025-11-25 16:00:00,30,16,1,11,26.0
9.5,10.9,64,2025-11-25 17:00:00,40,17,1,11,24.0
6.7,6.7,63,2025-11-25 18:00:00,28,18,1,11,25.0
8.3,8.6,61,2025-11-25 19:00:00,35,19,1,11,30.0
10.1,10.5,60,2025-11-25 20:00:00,42,20,1,11,35.0
11.8,12.3,58,2025-11-25 21:00:00,49,21,1,11,37.0
13.2,13.9,56,2025-11-25 22:00:00,53,22,1,11,42.0
14.1,14.8,54,2025-11-25 23:00:00,55,23,1,11,39.0
13.6,14.3,52,2025-11-26 00:00:00,54,0,2,11,31.0
12.2,12.7,51,2025-11-26 01:00:00,51,1,2,11,23.0
10.5,11.1,50,2025-11-26 02:00:00,44,2,2,11,21.0
8.9,9.4,48,2025-11-26 03:00:00,37,3,2,11,33.0
7.5,8.0,47,2025-11-26 04:00:00,31,4,2,11,49.0
6.3,6.7,45,2025-11-26 05:00:00,26,5,2,11,45.0
5.7,6.1,44,2025-11-26 06:00:00,24,6,2,11,45.0
5.9,6.2,43,2025-11-26 07:00:00,25,7,2,11,53.0
7.2,7.5,42,2025-11-26 08:00:00,30,8,2,11,58.0
8.4,8.7,41,2025-11-26 09:00:00,35,9,2,11,64.0
8.9,9.3,40,2025-11-26 10:00:00,37,10,2,11,72.0
10.0,10.3,39,2025-11-26 11:00:00,42,11,2,11,74.0
9.4,9.8,38,2025-11-26 12:00:00,39,12,2,11,70.0
7.4,7.8,38,2025-11-26 13:00:00,31,13,2,11,66.0
5.4,5.8,38,2025-11-26 14:00:00,23,14,2,11,61.0
5.0,5.4,37,2025-11-26 15:00:00,21,15,2,11,57.0
7.9,8.3,37,2025-11-26 16:00:00,33,16,2,11,54.0
11.8,12.2,37,2025-11-26 17:00:00,49,17,2,11,51.0
10.9,12.0,38,2025-11-26 18:00:00,45,18,2,11,52.0
10.8,12.0,38,2025-11-26 19:00:00,45,19,2,11,59.0
13.0,14.2,39,2025-11-26 20:00:00,53,20,2,11,67.0
15.4,16.5,39,2025-11-26 21:00:00,58,21,2,11,72.0
18.3,19.6,40,2025-11-26 22:00:00,64,22,2,11,75.0
22.1,23.2,41,2025-11-26 23:00:00,72,23,2,11,61.0
22.9,23.9,42,2025-11-27 00:00:00,74,0,3,11,49.0
21.1,21.8,44,2025-11-27 01:00:00,70,1,3,11,42.0
19.0,19.6,45,2025-11-27 02:00:00,66,2,3,11,43.0
16.9,17.4,47,2025-11-27 03:00:00,61,3,3,11,50.0
15.0,15.5,48,2025-11-27 04:00:00,57,4,3,11,63.0
13.6,14.0,49,2025-11-27 05:00:00,54,5,3,11,73.0
12.2,12.6,50,2025-11-27 06:00:00,51,6,3,11,85.0
12.7,13.2,51,2025-11-27 07:00:00,52,7,3,11,93.0
15.9,16.5,52,2025-11-27 08:00:00,59,8,3,11,97.0
19.7,20.3,52,2025-11-27 09:00:00,67,9,3,11,96.0
22.2,23.0,53,2025-11-27 10:00:00,72,10,3,11,93.0
23.6,24.4,54,2025-11-27 11:00:00,75,11,3,11,88.0
16.8,18.5,56,2025-11-27 12:00:00,61,12,3,11,80.0
11.7,13.2,56,2025-11-27 13:00:00,49,13,3,11,73.0
10.2,11.6,57,2025-11-27 14:00:00,42,14,3,11,67.0
10.4,11.8,57,2025-11-27 15:00:00,43,15,3,11,63.0
12.0,13.3,58,2025-11-27 16:00:00,50,16,3,11,59.0
18.0,19.3,58,2025-11-27 17:00:00,63,17,3,11,55.0
22.6,24.3,59,2025-11-27 18:00:00,73,18,3,11,56.0
28.3,30.4,60,2025-11-27 19:00:00,85,19,3,11,63.0
32.1,34.6,61,2025-11-27 20:00:00,93,20,3,11,71.0
33.9,36.1,63,2025-11-27 21:00:00,97,21,3,11,74.0
33.5,35.5,64,2025-11-27 22:00:00,96,22,3,11,70.0
32.2,34.1,66,2025-11-27 23:00:00,93,23,3,11,61.0
29.6,31.5,67,2025-11-28 00:00:00,88,0,4,11,55.0
25.8,27.7,67,2025-11-28 01:00:00,80,1,4,11,53.0
22.5,24.4,68,2025-11-28 02:00:00,73,2,4,11,54.0
19.9,21.8,68,2025-11-28 03:00:00,67,3,4,11,59.0
17.6,19.4,68,2025-11-28 04:00:00,63,4,4,11,72.0
15.8,17.6,69,2025-11-28 05:00:00,59,5,4,11,73.0
13.9,15.7,69,2025-11-28 06:00:00,55,6,4,11,84.0
14.3,16.1,69,2025-11-28 07:00:00,56,7,4,11,92.0
17.7,19.5,69,2025-11-28 08:00:00,63,8,4,11,95.0
21.4,23.2,69,2025-11-28 09:00:00,71,9,4,11,97.0
23.0,24.7,69,2025-11-28 10:00:00,74,10,4,11,97.0
21.2,23.1,69,2025-11-28 11:00:00,70,11,4,11,93.0
17.0,19.4,69,2025-11-28 12:00:00,61,12,4,11,85.0
13.9,16.1,69,2025-11-28 13:00:00,55,13,4,11,78.0
13.2,15.0,69,2025-11-28 14:00:00,53,14,4,11,72.0
13.6,15.3,70,2025-11-28 15:00:00,54,15,4,11,67.0
15.8,17.4,70,2025-11-28 16:00:00,59,16,4,11,63.0
22.3,23.7,70,2025-11-28 17:00:00,72,17,4,11,61.0
22.4,23.6,71,2025-11-28 18:00:00,73,18,4,11,63.0
27.6,29.1,71,2025-11-28 19:00:00,84,19,4,11,68.0
31.4,33.4,71,2025-11-28 20:00:00,92,20,4,11,76.0
33.1,35.4,71,2025-11-28 21:00:00,95,21,4,11,79.0
34.1,36.2,70,2025-11-28 22:00:00,97,22,4,11,69.0
34.0,35.9,71,2025-11-28 23:00:00,97,23,4,11,60.0
32.0,33.8,71,2025-11-29 00:00:00,93,0,5,11,55.0
28.3,30.0,71,2025-11-29 01:00:00,85,1,5,11,54.0
25.0,26.7,71,2025-11-29 02:00:00,78,2,5,11,56.0
22.1,23.8,71,2025-11-29 03:00:00,72,3,5,11,59.0
19.6,21.5,72,2025-11-29 04:00:00,67,4,5,11,73.0
17.9,19.7,72,2025-11-29 05:00:00,63,5,5,11,85.0
16.9,18.7,72,2025-11-29 06:00:00,61,6,5,11,93.0
17.6,19.4,72,2025-11-29 07:00:00,63,7,5,11,99.0
20.4,22.4,72,2025-11-29 08:00:00,68,8,5,11,102.0
23.8,25.7,73,2025-11-29 09:00:00,76,9,5,11,103.0
25.2,27.0,73,2025-11-29 10:00:00,79,10,5,11,102.0
